ID,RA,DEC,Z
1a,180.15392666666665,-1.4587205555555556,1.419649494834536
1b,180.15336666666664,-1.4580597222222222,1.4199366364514383
1c,180.16559041666665,-1.449691111111111,1.4190565804158148
1d,180.16363749999996,-1.4477516666666668,1.4184118956561393
1e,180.15942499999997,-1.4500216666666665,1.4189708312416829
