ID,RA,DEC,Z
2a,180.15541083333332,-1.4605391666666667,1.4069098875095676
2b,180.1549083333333,-1.4528166666666666,1.4057397626082513
2c,180.16537916666664,-1.447126388888889,1.406608809187237
2d,180.16459999999998,-1.445385,1.4060354083914823
2e,180.1654458333333,-1.4453180555555556,1.4071669630999244
2f,180.17002499999998,-1.4552308333333333,1.406376044776448
